artist,track,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_duration_ms,audio_features_time_signature
Taylor Swift,...Ready For It?,0.615,0.779,2,-6.454,1,0.135,0.0665,0,0.155,0.453,160.0,208198,4
Thomas Rhett,Life Changes,0.687,0.845,7,-4.37,1,0.0576,0.1,0,0.0452,0.809,87.972,190227,4
Bruno Mars,24K Magic,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4
Ed Sheeran,Galway Girl,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827,4
Ed Sheeran,Photograph,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
Camila Cabello,Havana (feat. Young Thug),0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
Bruno Mars,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827,4
Bill Conti,Gonna Fly Now,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,170240,4
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),0.776,0.62,7,-6.198,1,0.067,0.341,0,0.0978,0.427,100.025,214265,4
Ed Sheeran,Thinking out Loud,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4
Neon Trees,Everybody Talks,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,177280,4
Taylor Swift,We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880,4
Taylor Swift,Bad Blood,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933,4
The Script,Hall of Fame (feat. will.i.am),0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,202533,4
Maroon 5,Payphone,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,231387,4
Maroon 5,Sugar,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4
Sugarland,Stuck Like Glue,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,83.961,247587,4
Bruno Mars,That's What I Like,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4
One Direction,Steal My Girl,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,4
DJ Khaled,I'm the One,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,288877,4
Taylor Swift,Wildest Dreams,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440,4
Khalid,Young Dumb & Broke,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4
Natasha Bedingfield,Unwritten,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,259333,4
R. Kelly,Ignition - Remix,0.778,0.549,1,-6.144,1,0.0473,0.0549,0,0.0724,0.802,133.041,186040,4
